"Annual commercial landings and effort for Dive fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
"Harvest log data from Dive Fisheries fisheries are made available as a whole season after the season ends; therefore, data from 2025-26 Season are not yet available.",,,,,,,,,
,Fishery,Last Date Available,,,,,,,
,Geoduck,2025-03-31,,,,,,,
,Red Urchin,2025-07-24,,,,,,,
,Green Urchin,2025-08-28,,,,,,,
,Sea Cucumber,2024-12-04,(complete 2024-25 season),,,,,,
Selected Pacific Fishery Management Areas: All PFMA,,,,,,,,,
"Date compiled: July 7, 2026",,,,,,,,,
"Information source: Fisheries and Oceans Canada, Pacific Region Science Branch, Stock Assessment and Research Division, Shellfish Data Unit",,,,,,,,,
,commercial fishery harvest log data holdings,,,,,,,,
Information presented in this worksheet has been summarized to respect individuals' rights to privacy,,,,,,,,,
,as described in the Privacy Act and Access to Information Act,,,,,,,,
,* information does not meet the requirement for release - fewer than 3 vessels reporting,,,,,,,,
,** information withheld from public release so as to allow public release of information at the PFM Area level,,,,,,,,
PFM areas and subareas for which zero landings and effort have been reported have been omitted from the table.,,,,,,,,,
Effort is defined as the reported dive time in minutes.,,,,,,,,,
"This table Includes only regular commercial harvest records. It excludes any special harvesting, for example under scientific licence, test fishery, etc.",,,,,,,,,
All information presented in this table arises from fishery dependent logbook programs.  Fishery dependent catch reporting relies on individual harvesters or groups of harvesters to monitor and report their own catch.,,,,,,,,,
Dependability of data arising from fishery dependent catch reporting programs is higher for those fisheries which also participate in independent verification such as 3rd party monitoring programs.  ,,,,,,,,,
"In addition, substantial changes in management regimes, such as the adoption of a rotational model in the sea cucumber fishery, and market conditions for invertebrate fisheries over the period will contribute to variations in the data.",,,,,,,,,
,,,,,,,,,
Please consult the relevant Integrated Fisheries Management Plan for more information about this data. (Available at https://science-libraries.canada.ca/eng/fisheries-oceans/),,,,,,,,,
,,,,,,,,,
Fishery¹,Species¹,Year,PFMA,PFM Subarea†,Vessel Count,Dive Time (minutes),Total Landing (lbs),,
Geoduck and Horseclam,76D,1980,13,15,4,2329,8366,,¹Fishery & Species
Geoduck and Horseclam,76D,1980,13,Total,4,2329,8366,,"Geoduck and Horseclam, 84C = Pacific Geoduck (Panopea generosa), 76D = Horse Clam (Tresus Spp)"
Geoduck and Horseclam,76D,1980,14,0,1,720,*,,"Green Urchin, 6BB = Strongylocentrotus droebachiensis"
Geoduck and Horseclam,76D,1980,14,10,3,24791,13682,,"Red Urchin, 6BC = Mesocentrotus franciscanus"
Geoduck and Horseclam,76D,1980,14,11,3,7274,29252,,"Sea Cucumber, 6OB = Apostichopus californicus"
Geoduck and Horseclam,76D,1980,14,13,1,200,*,,
Geoduck and Horseclam,76D,1980,14,Total,4,32985,47154,,"†NOTE: Values are duplicated in this table, to allow the release of data for areas where few vessels operate."
Geoduck and Horseclam,76D,1980,15,0,1,676,*,,"Landings are presented separately for each Subarea and again as a sum ""Total"" for each PFMA."
Geoduck and Horseclam,76D,1980,15,2,3,10765,37467,,
Geoduck and Horseclam,76D,1980,15,3,3,7122,23718,,This data is provided under the Open Government Licence - Canada (https://open.canada.ca/en/open-government-licence-canada)
Geoduck and Horseclam,76D,1980,15,5,1,1630,*,,The Shellfish Data Unit may be contacted by email at: PACSDU@dfo-mpo.gc.ca
Geoduck and Horseclam,76D,1980,15,Total,3,20193,70469,,
Geoduck and Horseclam,76D,1980,16,0,1,6685,*,,
Geoduck and Horseclam,76D,1980,16,6,1,5823,*,,
Geoduck and Horseclam,76D,1980,16,19,2,1845,*,,
